ours_variance,exhaustive_variance,opt_gap_pct,fixed_certified,fixed_extra_evals,adaptive_variance,adaptive_gap_pct,adaptive_rounds,plain_calls,adaptive_calls,exhaustive_calls,city,n,seed
304.142,304.142,0.0,False,74,304.142,0.0,5,2510,2950,15385,london,5,0
159.2,159.2,-0.0,False,33,159.2,-0.0,2,2515,2700,14080,london,5,1
2029.199,2029.199,0.0,False,273,2029.199,0.0,19,2490,4215,21995,london,5,2
7.899,7.899,0.0,True,17,7.899,0.0,0,1260,1345,5205,london,5,3
140.674,140.674,0.0,False,21,140.674,0.0,1,970,1085,3715,london,5,4
735.105,735.105,0.0,True,19,735.105,0.0,0,1535,1630,7595,london,5,5
1049.053,1049.053,0.0,False,77,1049.053,0.0,30,2525,3525,15455,london,5,6
1.876,1.876,-0.0,True,16,1.876,-0.0,0,995,1075,3415,london,5,7
32.273,32.273,0.0,True,14,32.273,0.0,0,1220,1290,5245,london,5,8
804.146,804.146,0.0,False,24,804.146,0.0,7,1440,1660,6880,london,5,9
96.255,96.255,0.0,False,25,96.255,0.0,8,2155,2395,11595,london,5,10
106.195,106.195,0.0,False,26,106.195,0.0,12,1725,2080,8615,london,5,11
2390.209,2390.209,0.0,False,31,2390.209,0.0,13,2365,2715,13110,london,5,12
170.148,170.148,0.0,True,28,170.148,0.0,0,1615,1755,8395,london,5,13
649.207,649.207,0.0,False,35,649.207,0.0,1,2205,2395,12085,london,5,14
5.424,5.424,0.0,False,16,5.424,0.0,1,930,1025,3215,london,5,15
92.918,92.918,0.0,True,10,92.918,0.0,0,805,855,2370,london,5,16
382.924,382.924,0.0,True,25,382.924,0.0,0,1655,1780,8340,london,5,17
10.132,10.132,0.0,True,24,10.132,0.0,0,2055,2175,10455,london,5,18
55.064,55.064,0.0,True,11,55.064,0.0,0,1015,1070,3465,london,5,19
125.434,125.434,0.0,True,18,125.434,0.0,0,1395,1485,6310,london,5,20
531.265,531.265,0.0,False,28,531.265,0.0,2,1660,1815,8275,london,5,21
103.264,103.264,-0.0,False,386,103.264,-0.0,6,2460,4510,25880,london,5,22
5519.644,5519.644,0.0,False,32,5519.644,0.0,33,2290,3185,12465,london,5,23
32.738,32.738,0.0,True,25,32.738,0.0,0,1590,1715,7830,london,5,24
1303.199,1303.199,0.0,False,243,1303.199,0.0,5,2455,3735,21200,london,5,25
50.082,50.082,0.0,False,171,50.082,0.0,3,2495,3400,18800,london,5,26
1548.788,1548.788,-0.0,False,19,1548.788,-0.0,8,1390,1605,6435,london,5,27
29.852,29.852,-0.0,False,24,29.852,-0.0,3,1745,1910,8895,london,5,28
703.425,703.425,0.0,True,11,703.425,0.0,0,885,940,2825,london,5,29
162.677,162.677,0.0,True,87,162.677,0.0,0,2460,2895,15760,london,5,30
66.911,66.911,0.0,False,15,66.911,0.0,17,1665,1990,7560,london,5,31
188.939,188.939,0.0,False,335,188.939,0.0,3,2525,4240,24355,london,5,32
33.03,33.03,0.0,True,26,33.03,0.0,0,2040,2170,10700,london,5,33
146.696,146.696,0.0,False,24,146.696,0.0,2,2130,2275,11325,london,5,34
92.208,92.208,0.0,True,23,92.208,0.0,0,1535,1650,7265,london,5,35
5710.536,5710.536,0.0,False,26,5710.536,0.0,15,1865,2285,9905,london,5,36
21.479,21.479,0.0,False,625,21.479,0.0,1,2510,5650,34200,london,5,37
167.889,167.889,0.0,False,23,167.889,0.0,5,1335,1495,5735,london,5,38
