seed,truth,candidates,lip_assumed_value,lip_assumed_certified,lip_assumed_excess_pct,lip_assumed_UNSOUND,lip_assumed_calls,lip_empirical_value,lip_empirical_certified,lip_empirical_excess_pct,lip_empirical_UNSOUND,lip_empirical_calls,band_value,band_certified,band_excess_pct,band_UNSOUND,band_evaluated,band_reachable,band_unreachable,band_eval_frac,band_eval_frac_all,band_sweeps,band_point_queries,t_band_full_sweep_s,t_lip_subset_s,n_fine,n_lip_distinct
0,658.16,716,658.16,True,0.0,False,3385,658.16,True,0.0,False,3400,658.16,True,0.0,False,4,161,555,0.0248,0.0056,5,20,0.886,0.862,716,677
1,343.76,699,343.76,True,0.0,False,2260,343.76,True,0.0,False,2685,343.76,True,0.0,False,9,425,274,0.0212,0.0129,5,45,0.862,0.785,699,452
2,41.36,844,41.36,True,0.0,False,3455,41.36,True,0.0,False,3520,41.36,True,0.0,False,11,298,546,0.0369,0.013,5,55,0.899,0.792,844,691
3,99.84,489,99.84,True,0.0,False,1195,99.84,True,0.0,False,1260,99.84,True,0.0,False,3,424,65,0.0071,0.0061,5,15,0.943,0.878,489,239
4,2.96,299,2.96,True,0.0,False,750,2.96,True,0.0,False,800,2.96,True,0.0,False,7,290,9,0.0241,0.0234,5,35,0.59,0.524,299,150
5,144.56,772,144.56,True,0.0,False,3000,144.56,True,0.0,False,3025,144.56,True,0.0,False,3,345,427,0.0087,0.0039,5,15,1.006,0.955,772,600
6,379.76,796,379.76,True,0.0,False,2935,379.76,True,0.0,False,3960,379.76,True,0.0,False,7,367,429,0.0191,0.0088,5,35,0.896,0.781,796,587
7,99.2,442,99.2,True,0.0,False,1090,99.2,True,0.0,False,1105,99.2,True,0.0,False,3,396,46,0.0076,0.0068,5,15,0.697,0.64,442,218
8,89.36,358,89.36,True,0.0,False,1095,89.36,True,0.0,False,1100,89.36,True,0.0,False,3,299,59,0.01,0.0084,5,15,0.736,0.677,358,219
9,408.24,486,408.24,True,0.0,False,1785,408.24,True,0.0,False,1785,408.24,True,0.0,False,7,289,197,0.0242,0.0144,5,35,0.782,0.734,486,357
10,665.2,892,665.2,True,0.0,False,4200,665.2,True,0.0,False,4490,665.2,True,0.0,False,13,189,703,0.0688,0.0146,5,65,1.053,0.99,892,840
11,307.76,572,307.76,True,0.0,False,2350,307.76,True,0.0,False,2390,307.76,True,0.0,False,7,224,348,0.0312,0.0122,5,35,0.812,0.834,572,470
12,412.64,636,412.64,True,0.0,False,2920,412.64,True,0.0,False,2945,412.64,True,0.0,False,1,170,466,0.0059,0.0016,5,5,1.044,1.051,636,584
13,184.64,646,184.64,True,0.0,False,2265,184.64,True,0.0,False,2485,184.64,True,0.0,False,11,368,278,0.0299,0.017,5,55,0.988,0.869,646,453
14,85.2,688,85.2,True,0.0,False,1195,85.2,True,0.0,False,1680,85.2,True,0.0,False,13,682,6,0.0191,0.0189,5,65,1.338,1.027,688,239
16,28.16,296,28.16,True,0.0,False,960,28.16,True,0.0,False,960,28.16,True,0.0,False,3,256,40,0.0117,0.0101,5,15,0.496,0.451,296,192
18,1061.84,713,1061.84,True,0.0,False,3360,1061.84,True,0.0,False,3535,1061.84,True,0.0,False,14,171,542,0.0819,0.0196,5,70,0.827,0.78,713,672
19,11.44,388,11.44,True,0.0,False,840,11.44,True,0.0,False,1375,11.44,True,0.0,False,9,388,0,0.0232,0.0232,5,45,1.173,1.081,388,168
20,98.16,550,98.16,True,0.0,False,1495,98.16,True,0.0,False,1870,98.16,True,0.0,False,5,450,100,0.0111,0.0091,5,25,1.133,0.996,550,299
21,922.4,523,922.4,True,0.0,False,2445,922.4,True,0.0,False,2595,922.4,True,0.0,False,6,158,365,0.038,0.0115,5,30,0.928,0.922,523,489
23,229.36,440,229.36,True,0.0,False,1590,229.36,True,0.0,False,1750,229.36,True,0.0,False,2,257,183,0.0078,0.0045,5,10,0.759,0.696,440,318
24,247.44,665,247.44,True,0.0,False,2055,247.44,True,0.0,False,2680,247.44,True,0.0,False,14,454,211,0.0308,0.0211,5,70,1.12,0.952,665,411
26,223.2,775,223.2,True,0.0,False,2360,223.2,True,0.0,False,2600,223.2,True,0.0,False,10,482,293,0.0207,0.0129,5,50,1.021,0.89,775,472
27,9.6,383,9.6,True,0.0,False,1095,9.6,True,0.0,False,1095,9.6,True,0.0,False,2,327,56,0.0061,0.0052,5,10,0.881,0.824,383,219
28,1.76,402,1.76,True,0.0,False,935,1.76,True,0.0,False,1290,1.76,True,0.0,False,3,401,1,0.0075,0.0075,5,15,0.927,0.839,402,187
29,137.36,333,137.36,True,0.0,False,915,137.36,True,0.0,False,1295,137.36,True,0.0,False,17,315,18,0.054,0.0511,5,85,0.926,0.881,333,183
