seed,truth,candidates,lip_assumed_value,lip_assumed_certified,lip_assumed_excess_pct,lip_assumed_UNSOUND,lip_assumed_calls,lip_empirical_value,lip_empirical_certified,lip_empirical_excess_pct,lip_empirical_UNSOUND,lip_empirical_calls,band_value,band_certified,band_excess_pct,band_UNSOUND,band_evaluated,band_reachable,band_unreachable,band_eval_frac,band_eval_frac_all,band_sweeps,band_point_queries,t_band_full_sweep_s,t_lip_subset_s,n_fine,n_lip_distinct
0,253.76,2590,253.76,True,0.0,False,12560,253.76,True,0.0,False,12740,253.76,True,0.0,False,4,229,2361,0.0175,0.0015,5,20,5.845,5.156,2590,2512
1,70.64,2544,70.64,True,0.0,False,10630,70.64,True,0.0,False,10820,70.64,True,0.0,False,2,663,1881,0.003,0.0008,5,10,4.582,4.529,2544,2126
2,1598.16,4269,1598.16,True,0.0,False,21590,1598.16,True,0.0,False,21590,1598.16,True,0.0,False,3,39,4230,0.0769,0.0007,5,15,5.198,5.189,4269,4269
3,6.56,816,6.56,True,0.0,False,1690,6.56,True,0.0,False,1710,6.56,True,0.0,False,4,719,97,0.0056,0.0049,5,20,6.519,5.808,816,338
5,635.76,1066,635.76,True,0.0,False,4930,635.76,True,0.0,False,5375,635.76,True,0.0,False,7,230,836,0.0304,0.0066,5,35,4.097,4.336,1066,986
6,468.8,2561,468.8,True,0.0,False,10905,468.8,True,0.0,False,12495,468.8,True,0.0,False,7,654,1907,0.0107,0.0027,5,35,4.664,3.821,2561,2181
7,47.44,434,47.44,True,0.0,False,930,47.44,True,0.0,False,1255,47.44,True,0.0,False,5,431,3,0.0116,0.0115,5,25,4.357,3.837,434,186
8,211.2,937,211.2,True,0.0,False,2645,211.2,True,0.0,False,2775,211.2,True,0.0,False,7,624,313,0.0112,0.0075,5,35,5.767,5.839,937,529
9,578.0,1320,578.0,True,0.0,False,5645,578.0,True,0.0,False,5935,578.0,True,0.0,False,6,375,945,0.016,0.0045,5,30,6.234,6.296,1320,1129
10,111.44,1658,111.44,True,0.0,False,2405,111.44,True,0.0,False,3275,111.44,True,0.0,False,9,1580,78,0.0057,0.0054,5,45,6.638,5.447,1658,481
11,135.04,1394,135.04,True,0.0,False,2395,135.04,True,0.0,False,3270,135.04,True,0.0,False,11,1257,137,0.0088,0.0079,5,55,8.367,7.972,1394,479
13,80.96,1364,80.96,True,0.0,False,5155,80.96,True,0.0,False,5355,80.96,True,0.0,False,9,534,830,0.0169,0.0066,5,45,5.835,5.823,1364,1031
14,945.44,2082,945.44,True,0.0,False,10555,945.44,True,0.0,False,10555,945.44,True,0.0,False,2,25,2057,0.08,0.001,5,10,2.92,3.018,2082,2082
15,37.04,581,37.04,True,0.0,False,1225,37.04,True,0.0,False,1840,37.04,True,0.0,False,3,581,0,0.0052,0.0052,5,15,5.628,5.646,581,245
16,73.84,337,73.84,True,0.0,False,940,73.84,True,0.0,False,1100,73.84,True,0.0,False,19,314,23,0.0605,0.0564,5,95,4.903,5.184,337,188
17,240.8,1702,240.8,True,0.0,False,7430,240.8,True,0.0,False,7605,240.8,True,0.0,False,5,395,1307,0.0127,0.0029,5,25,3.227,3.07,1702,1486
18,209.2,1729,209.2,True,0.0,False,5675,209.2,True,0.0,False,5975,209.2,True,0.0,False,10,849,880,0.0118,0.0058,5,50,5.981,5.557,1729,1135
19,47.76,569,47.76,True,0.0,False,1500,47.76,True,0.0,False,1695,47.76,True,0.0,False,9,455,114,0.0198,0.0158,5,45,4.829,4.859,569,300
20,93.36,992,93.36,True,0.0,False,3835,93.36,True,0.0,False,3865,93.36,True,0.0,False,1,431,561,0.0023,0.001,5,5,4.295,4.19,992,767
21,1109.84,1413,1109.84,True,0.0,False,7220,1109.84,True,0.0,False,7220,1109.84,True,0.0,False,1,40,1373,0.025,0.0007,5,5,6.094,5.817,1413,1413
22,567.2,4866,567.2,True,0.0,False,21640,567.2,True,0.0,False,23015,567.2,True,0.0,False,1,798,4068,0.0013,0.0002,5,5,7.905,7.711,4866,4328
24,30.56,1344,30.56,True,0.0,False,2665,30.56,True,0.0,False,5255,30.56,True,0.0,False,18,1107,237,0.0163,0.0134,5,90,7.767,7.555,1344,533
26,293.44,3167,293.44,True,0.0,False,5500,293.44,True,0.0,False,7250,293.44,True,0.0,False,9,2603,564,0.0035,0.0028,5,45,8.124,6.878,3167,1100
28,118.64,1460,118.64,True,0.0,False,2450,118.64,True,0.0,False,3690,118.64,True,0.0,False,10,1317,143,0.0076,0.0068,5,50,7.965,7.212,1460,490
29,201.36,497,201.36,True,0.0,False,2165,201.36,True,0.0,False,2175,201.36,True,0.0,False,4,197,300,0.0203,0.008,5,20,1.803,1.778,497,433
