seed,truth,candidates,lip_assumed_value,lip_assumed_certified,lip_assumed_excess_pct,lip_assumed_UNSOUND,lip_assumed_calls,lip_empirical_value,lip_empirical_certified,lip_empirical_excess_pct,lip_empirical_UNSOUND,lip_empirical_calls,band_value,band_certified,band_excess_pct,band_UNSOUND,band_evaluated,band_reachable,band_unreachable,band_eval_frac,band_eval_frac_all,band_sweeps,band_point_queries,t_band_full_sweep_s,t_lip_subset_s,n_fine,n_lip_distinct
3,65.36,1041,65.36,True,0.0,False,3285,65.36,True,0.0,False,3675,65.36,True,0.0,False,2,600,441,0.0033,0.0019,5,10,3.988,3.799,1041,657
4,348.56,710,348.56,True,0.0,False,2770,348.56,True,0.0,False,3250,348.56,True,0.0,False,9,324,386,0.0278,0.0127,5,45,2.684,2.557,710,554
5,1251.44,1346,1251.44,True,0.0,False,6865,1251.44,True,0.0,False,6865,1251.44,True,0.0,False,7,49,1297,0.1429,0.0052,5,35,3.594,3.668,1346,1346
7,63.76,574,63.76,True,0.0,False,1390,63.76,True,0.0,False,1390,63.76,True,0.0,False,6,502,72,0.012,0.0105,5,30,3.32,3.093,574,278
11,1739.84,2105,inf,False,inf,False,-1,inf,False,inf,False,-1,1739.84,True,0.0,False,1,1,2104,1.0,0.0005,5,5,3.277,2.341,2105,1
13,1394.56,1927,inf,False,inf,False,-1,inf,False,inf,False,-1,1394.56,True,0.0,False,1,2,1925,0.5,0.0005,5,5,2.169,1.642,1927,1
16,45.76,452,45.76,True,0.0,False,1585,45.76,True,0.0,False,1585,45.76,True,0.0,False,3,294,158,0.0102,0.0066,5,15,1.162,1.086,452,317
19,25.6,716,25.6,True,0.0,False,1230,25.6,True,0.0,False,1645,25.6,True,0.0,False,7,716,0,0.0098,0.0098,5,35,5.39,5.105,716,246
27,262.96,1544,262.96,True,0.0,False,7855,262.96,True,0.0,False,7855,262.96,True,0.0,False,1,18,1526,0.0556,0.0006,5,5,2.721,2.646,1544,1544
28,117.04,2396,117.04,True,0.0,False,4440,117.04,True,0.0,False,5900,117.04,True,0.0,False,44,1954,442,0.0225,0.0184,5,220,4.503,3.962,2396,888
29,189.44,803,189.44,True,0.0,False,2650,189.44,True,0.0,False,2720,189.44,True,0.0,False,16,464,339,0.0345,0.0199,5,80,3.878,3.898,803,530
