idx,lat,lng,driving_o0,cycling_o0,transit_o0,walking_o0,driving_o1,driving_o2,driving_o3,n_modes_anom,n_origins_anom
0,51.57221,-0.05059,6.0,,0.0,,4.0,3.0,2.5,0,0
1,51.46605,-0.16902,0.0,0.5,-3.5,-2.0,-0.5,-1.0,-1.5,0,0
2,51.54267,-0.05963,2.5,0.5,-1.0,,2.0,0.0,1.0,0,0
3,51.48372,-0.13139,-1.5,-2.0,-0.5,3.0,-0.5,0.0,-0.5,0,0
4,51.4714,-0.0537,-0.5,0.5,-1.0,,0.0,0.0,-1.0,0,0
5,51.48243,-0.15909,1.5,-1.5,0.0,3.0,1.0,1.5,1.0,0,0
6,51.54393,-0.03193,-2.5,,0.0,,-1.0,0.0,-1.0,0,0
7,51.45503,-0.06365,-1.0,-1.0,-0.5,,0.0,-0.5,-1.0,0,0
8,51.56106,0.05485,3.0,,7.0,,2.5,-1.0,2.5,0,0
9,51.4195,-0.14346,0.0,-1.5,-3.5,0.5,0.0,0.0,1.0,0,0
10,51.53153,0.04576,-1.0,,-0.5,,-1.0,0.0,0.0,0,0
11,51.43717,-0.10586,0.0,2.0,-2.5,2.5,0.0,0.0,0.0,0,0
12,51.56445,-0.10473,-2.0,-0.5,-3.5,,-1.5,-2.0,-2.5,0,0
13,51.43588,-0.13353,0.0,-0.5,2.5,-2.0,0.0,1.0,0.5,0,0
14,51.43056,-0.19053,2.5,7.0,10.0,10.0,0.5,1.5,1.5,0,0
15,51.5365,-0.19359,0.5,-0.5,-5.5,,1.0,-0.5,-1.5,0,0
16,51.4771,-0.21614,-0.5,0.5,-4.5,3.0,-0.5,0.0,0.0,0,0
17,51.48901,-0.01607,-0.5,0.5,-2.5,,-0.5,-0.5,-1.0,0,0
18,51.54095,-0.15496,-0.5,-2.5,-0.5,,1.0,0.5,0.0,0,0
19,51.50661,0.02157,5.0,,2.0,,5.0,5.0,5.0,0,0
20,51.53046,-0.15235,-0.5,2.0,1.5,,-0.5,-0.5,1.0,0,0
21,51.50536,-0.0061,-1.0,4.0,3.5,,-1.0,-1.0,0.0,0,0
22,51.50788,-0.00905,0.0,-1.0,-2.5,,0.0,0.0,-1.0,0,0
23,51.50913,0.01862,-2.0,,-3.5,,-2.0,-1.0,-2.0,0,0
