user,mode,dt,d_km,slope,t_a,t_b,lat_a,lng_a,lat_b,lng_b,near_frontier,reach_frac
5,cycling,66.0,0.32,206.0,106.0,40.0,51.49736,-0.12311,51.49714,-0.12772,False,0.783
5,cycling,63.0,0.324,194.3,43.0,106.0,51.49463,-0.12477,51.49736,-0.12311,False,0.783
5,cycling,61.0,0.347,176.0,45.0,106.0,51.49987,-0.12607,51.49736,-0.12311,False,0.783
5,cycling,57.0,0.347,164.5,49.0,106.0,51.49484,-0.12015,51.49736,-0.12311,False,0.783
5,cycling,56.0,0.324,172.7,106.0,50.0,51.49736,-0.12311,51.50009,-0.12145,False,0.783
5,cycling,55.0,0.32,171.7,51.0,106.0,51.49757,-0.11849,51.49736,-0.12311,False,0.783
4,cycling,41.0,0.346,118.4,66.0,107.0,51.50809,-0.00444,51.50557,-0.00149,False,0.547
4,cycling,41.0,0.324,126.5,66.0,107.0,51.50829,0.00017,51.50557,-0.00149,False,0.547
4,cycling,40.0,0.324,123.5,105.0,65.0,51.50347,0.01068,51.50619,0.01235,False,0.547
4,cycling,40.0,0.324,123.4,120.0,80.0,51.50159,-0.03082,51.50432,-0.02916,True,0.547
4,cycling,39.0,0.346,112.6,66.0,105.0,51.50829,0.00017,51.50578,0.00312,False,0.547
4,cycling,39.0,0.324,120.3,80.0,119.0,51.50914,-0.03968,51.50641,-0.04134,True,0.547
4,cycling,38.0,0.346,109.7,69.0,107.0,51.50536,-0.0061,51.50285,-0.00315,False,0.547
4,cycling,38.0,0.324,117.3,67.0,105.0,51.5085,0.00479,51.50578,0.00312,False,0.547
4,cycling,38.0,0.32,118.7,69.0,107.0,51.50536,-0.0061,51.50557,-0.00149,False,0.547
4,cycling,37.0,0.32,115.6,120.0,83.0,51.50159,-0.03082,51.5018,-0.02621,True,0.547
4,cycling,37.0,0.346,106.8,110.0,73.0,51.50012,-0.00481,51.50264,-0.00776,True,0.547
4,cycling,37.0,0.32,115.6,68.0,105.0,51.50368,0.0153,51.50347,0.01068,False,0.547
4,cycling,36.0,0.346,103.9,83.0,119.0,51.50893,-0.04429,51.50641,-0.04134,True,0.547
