seed,user,mode,pairs,reachable_frac,L_euclidean,slope_p99,violation_all_pct,b0_0.45_n,b0_0.45_viol,b0.45_0.8_n,b0.45_0.8_viol,b0.8_1.2_n,b0.8_1.2_viol,b1.2_2_n,b1.2_2_viol,close_n,close_dt_max,close_jump_pct,L_empirical,emp_viol_close_pct,emp_over_euc
0,0,cycling,9920,0.6782,5.2,24.686,59.577,5936,63.258,570,55.965,1028,54.086,2386,53.646,5936,31.0,38.612,14.615,8.945,2.811
0,1,cycling,12357,0.8383,5.2,21.847,57.32,7372,62.235,721,51.595,1264,50.87,3000,49.333,7372,17.0,37.032,12.099,16.02,2.327
0,2,transit,14891,1.0,4.333,30.852,66.852,8838,75.062,934,67.88,1520,59.342,3599,49.597,8838,30.0,58.701,17.015,19.179,3.927
0,3,walking,4268,0.3019,16.25,40.499,35.333,2618,36.44,222,31.532,431,36.427,997,32.798,2618,34.0,72.956,23.149,10.657,1.425
0,4,cycling,7870,0.5463,5.2,33.647,58.323,4762,61.802,484,51.86,786,57.506,1838,51.36,4762,41.0,36.917,21.82,2.751,4.196
0,5,cycling,11552,0.7831,5.2,23.097,58.553,6899,62.516,678,52.655,1187,53.412,2788,52.367,6899,66.0,37.716,13.091,9.885,2.517
1,0,driving,14280,1.0,3.12,14.43,35.203,8164,43.41,1019,40.53,1509,27.767,3588,18.144,8164,10.0,12.188,6.087,25.527,1.951
1,1,transit,12925,0.9154,4.333,27.996,64.364,7392,72.984,900,65.111,1384,56.575,3249,47.861,7392,19.0,56.913,14.662,25.244,3.384
1,2,walking,3719,0.2775,16.25,37.032,35.682,2196,37.978,232,36.207,374,36.898,917,29.553,2196,24.0,74.818,23.439,11.84,1.442
1,3,transit,11700,0.8436,4.333,31.224,65.376,6749,74.411,791,64.349,1222,58.265,2938,47.856,6749,57.0,57.668,15.391,26.641,3.552
1,4,cycling,7955,0.5668,5.2,26.793,58.328,4574,62.462,572,54.196,834,54.317,1975,51.646,4574,20.0,37.997,13.17,11.565,2.533
1,5,cycling,8461,0.6021,5.2,24.963,60.749,4875,65.805,592,52.534,912,51.645,2082,55.235,4875,20.0,41.6,13.71,14.031,2.636
2,0,transit,19048,0.8309,4.333,33.986,70.427,14042,75.609,883,69.309,1126,60.124,2997,50.35,14042,30.0,59.493,17.333,18.295,4.0
2,1,transit,21383,0.935,4.333,34.633,69.883,15779,75.696,937,66.489,1281,58.938,3386,47.874,15779,35.0,60.226,16.608,22.15,3.833
2,2,transit,18697,0.8171,4.333,37.0,70.455,13774,75.918,867,71.28,1113,57.682,2943,49.473,13774,33.0,60.542,17.734,19.181,4.092
2,3,walking,3487,0.1569,16.25,57.75,36.392,2598,38.068,183,34.973,228,35.965,478,28.033,2598,43.0,74.288,30.616,7.506,1.884
2,4,driving,23281,0.9988,3.12,18.535,40.81,17056,45.145,1117,49.06,1411,32.318,3697,21.558,17056,46.0,17.507,8.188,17.507,2.624
2,5,walking,3036,0.137,16.25,103.765,38.373,2256,39.096,140,45.0,183,40.437,457,31.947,2256,70.0,73.803,33.978,6.161,2.091
3,0,driving,8714,1.0,3.12,12.488,33.349,2960,43.649,798,42.481,1468,30.518,3488,23.71,2960,12.0,11.723,7.337,11.723,2.352
3,1,driving,8714,1.0,3.12,15.134,33.027,2960,43.649,798,42.732,1468,31.335,3488,22.506,2960,21.0,12.264,11.466,4.696,3.675
3,2,walking,6329,0.7439,16.25,31.199,32.391,2185,36.384,527,33.207,1093,33.76,2524,28.17,2185,21.0,73.364,22.261,11.396,1.37
3,3,cycling,8714,1.0,5.2,21.841,55.176,2960,61.149,798,50.376,1468,54.019,3488,51.692,2960,66.0,36.622,15.639,5.101,3.007
3,4,transit,8714,1.0,4.333,24.964,59.227,2960,72.568,798,65.038,1468,56.812,3488,47.592,2960,22.0,56.014,13.708,27.905,3.163
3,5,transit,8714,1.0,4.333,25.928,67.191,2960,74.054,798,66.04,1468,65.599,3488,62.299,2960,22.0,57.601,17.16,17.77,3.96
4,0,driving,8730,1.0,3.12,24.936,40.458,2993,44.37,797,50.941,1490,41.611,3450,34.145,2993,43.0,24.958,15.257,7.584,4.89
4,1,walking,4081,0.5,16.25,43.132,34.624,1461,40.11,359,38.997,704,33.097,1557,29.159,1461,36.0,75.291,27.086,8.556,1.667
4,2,transit,8587,0.9923,4.333,34.286,65.261,2955,77.225,792,71.97,1461,62.56,3379,54.395,2955,35.0,62.301,20.441,13.706,4.717
4,3,cycling,8676,0.9971,5.2,23.07,54.38,2978,62.861,796,53.894,1483,51.719,3419,48.26,2978,21.0,38.516,13.703,12.592,2.635
