n,seed,var_at_var_opt,var_at_range_opt,rel_gap,gini_var_opt,gini_range_opt,spread_var_opt,spread_range_opt
5,0,35.952,50.12,0.2827,0.1598,0.168,16.76,16.14
5,1,8.209,8.209,0.0,0.1327,0.1327,7.46,7.46
5,2,0.531,0.531,0.0,0.0328,0.0328,2.04,2.04
5,3,8.834,8.834,0.0,0.0838,0.0838,7.92,7.92
5,4,91.809,99.669,0.0789,0.2043,0.1964,27.89,26.34
5,5,450.397,454.364,0.0087,0.3096,0.3176,55.74,55.36
5,6,21.211,21.28,0.0032,0.1448,0.1424,13.12,12.44
5,7,65.441,77.445,0.155,0.2611,0.2681,23.39,20.17
5,8,10.801,10.801,0.0,0.2018,0.2018,9.0,9.0
5,9,84.979,86.029,0.0122,0.1402,0.1362,25.37,25.35
5,10,4.031,4.626,0.1287,0.06,0.0678,6.18,5.47
5,11,17.574,17.574,0.0,0.1149,0.1149,11.44,11.44
5,12,117.057,117.27,0.0018,0.2517,0.2596,29.53,27.74
5,13,44.572,50.099,0.1103,0.2154,0.2043,19.34,17.77
5,14,507.375,519.825,0.024,0.3465,0.3335,54.02,50.4
5,15,6.245,6.356,0.0175,0.1566,0.1602,7.36,6.52
5,16,72.556,85.685,0.1532,0.1793,0.1823,23.64,22.04
5,17,89.972,95.538,0.0583,0.159,0.1618,25.48,24.53
5,18,38.448,39.065,0.0158,0.1512,0.147,14.34,13.81
5,19,51.672,60.212,0.1418,0.1822,0.1798,19.47,17.9
5,20,63.913,67.241,0.0495,0.2699,0.2785,23.71,21.57
5,21,7.812,8.887,0.121,0.0695,0.0693,7.41,7.3
5,22,9.942,9.942,0.0,0.099,0.099,7.96,7.96
5,23,38.619,61.947,0.3766,0.2407,0.2531,19.43,18.37
5,24,2.119,2.119,0.0,0.0572,0.0572,4.45,4.45
5,25,56.993,93.577,0.3909,0.1572,0.1982,22.66,21.28
5,26,1.736,2.439,0.2885,0.059,0.0678,4.08,3.51
5,27,12.544,16.547,0.2419,0.0758,0.0808,10.69,10.1
5,28,3.378,3.879,0.129,0.0797,0.0833,5.14,5.0
5,29,765.975,780.704,0.0189,0.2282,0.2338,71.25,69.33
5,30,3793.445,3822.772,0.0077,0.5197,0.5268,135.77,129.46
5,31,6.567,7.355,0.1072,0.1412,0.1374,6.62,6.5
5,32,3.825,4.236,0.0969,0.1283,0.1273,5.58,5.45
5,33,42.414,48.766,0.1303,0.169,0.1567,16.86,15.5
5,34,7.447,7.447,0.0,0.0492,0.0492,6.98,6.98
5,35,450.03,451.714,0.0037,0.2874,0.2845,51.67,49.75
5,36,344.833,353.465,0.0244,0.3675,0.3549,42.19,40.53
5,37,401.555,533.183,0.2469,0.276,0.3128,57.5,53.08
5,38,58.832,81.512,0.2782,0.1612,0.175,23.71,22.29
5,39,27.277,29.321,0.0697,0.1435,0.1512,15.62,15.03
5,40,14.118,14.118,0.0,0.2381,0.2381,9.65,9.65
5,41,64.128,67.285,0.0469,0.2597,0.2463,20.96,19.58
5,42,1.522,1.522,0.0,0.0689,0.0689,3.29,3.29
5,43,102.197,104.081,0.0181,0.3441,0.3436,26.86,24.51
5,44,0.113,0.113,0.0,0.0149,0.0149,0.97,0.97
5,45,41.053,72.712,0.4354,0.1735,0.2414,19.75,19.14
5,46,28.613,37.519,0.2374,0.1572,0.2141,15.98,14.73
5,47,76.211,84.355,0.0965,0.2077,0.2263,27.26,23.96
5,48,119.616,120.88,0.0105,0.231,0.2149,30.47,30.33
5,49,59.164,59.698,0.0089,0.1495,0.1536,19.31,18.85
5,50,63.719,64.914,0.0184,0.2138,0.1834,22.46,21.12
5,51,18.205,25.256,0.2792,0.1132,0.1187,13.07,11.52
5,52,22.391,23.382,0.0424,0.2801,0.2572,12.17,10.5
5,53,49.221,52.931,0.0701,0.1641,0.166,16.99,16.18
5,54,19.094,26.297,0.2739,0.0816,0.0766,12.57,11.92
5,55,46.575,61.138,0.2382,0.2615,0.2641,19.93,17.71
5,56,0.471,0.471,0.0,0.0396,0.0396,1.93,1.93
5,57,433.378,433.378,0.0,0.3682,0.3682,48.1,48.1
5,58,5.856,6.666,0.1216,0.0876,0.087,6.6,6.14
5,59,31.095,37.381,0.1682,0.1631,0.1648,14.14,13.18
5,60,80.038,81.811,0.0217,0.1728,0.1633,24.13,22.55
5,61,70.679,79.907,0.1155,0.1954,0.2103,24.35,23.9
5,62,5.996,7.57,0.2079,0.058,0.064,6.35,6.04
5,63,287.288,346.925,0.1719,0.3639,0.3798,42.19,39.26
5,64,52.504,55.885,0.0605,0.1947,0.192,21.52,19.11
5,65,94.512,95.914,0.0146,0.2064,0.2151,25.62,24.94
5,66,92.909,107.065,0.1322,0.3044,0.2887,27.16,24.16
5,67,4.036,5.0,0.1928,0.0716,0.0765,5.98,5.32
5,68,48.714,54.347,0.1037,0.1696,0.1852,17.75,17.37
5,69,73.503,80.214,0.0837,0.2272,0.2089,22.95,19.99
5,70,23.517,23.517,0.0,0.1501,0.1501,11.5,11.5
5,71,139.959,145.765,0.0398,0.3425,0.3424,29.76,29.12
5,72,198.282,205.843,0.0367,0.198,0.191,32.39,31.81
5,73,88.504,96.768,0.0854,0.4346,0.3842,24.33,21.59
5,74,486.318,487.662,0.0028,0.3377,0.3431,58.98,56.68
5,75,17.104,17.721,0.0348,0.111,0.1134,12.02,11.16
5,76,29.081,29.081,0.0,0.1452,0.1452,14.65,14.65
5,77,719.817,721.218,0.0019,0.4006,0.3893,59.31,55.94
5,78,54.322,54.322,0.0,0.2422,0.2422,18.74,18.74
5,79,9.614,10.632,0.0957,0.1118,0.1265,9.4,9.16
5,80,37.109,37.109,0.0,0.0776,0.0776,17.21,17.21
5,81,26.079,27.084,0.0371,0.1075,0.0923,15.98,14.99
5,82,29.688,39.299,0.2446,0.1168,0.1541,15.7,15.1
