seed,n_multimodal,users_using_secondary,var_choice,var_primary_only,choice_var_change_pct,point_moved_m
0,2,0,63.44,63.44,0.0,0.0
1,2,1,99.36,82.56,20.35,0.0
2,2,1,105.84,72.4,46.19,1195.2
3,2,0,60.56,60.56,0.0,0.0
4,2,0,77.76,77.76,0.0,0.0
5,2,1,42.64,64.56,-33.95,4621.2
6,2,0,21.44,21.44,0.0,0.0
7,2,0,19.04,19.04,0.0,0.0
8,2,2,29.2,71.84,-59.35,1165.2
9,2,0,34.56,34.56,0.0,0.0
10,2,1,18.24,160.56,-88.64,2713.1
11,2,1,30.16,48.96,-38.4,1964.8
12,2,0,42.64,42.64,0.0,0.0
13,2,1,27.44,49.04,-44.05,583.2
14,2,0,510.16,510.16,0.0,0.0
15,2,1,76.56,123.84,-38.18,1461.0
16,2,0,78.64,78.64,0.0,0.0
17,2,0,267.76,267.76,0.0,0.0
18,2,1,47.36,78.64,-39.78,2154.3
19,2,1,10.24,5.2,96.92,3337.9
20,2,0,68.96,68.96,0.0,0.0
21,2,2,6.96,268.56,-97.41,583.0
22,2,1,30.8,87.84,-64.94,1662.4
23,2,2,49.44,15.04,228.72,323.5
24,2,1,1.04,8.64,-87.96,582.7
25,2,0,181.84,181.84,0.0,0.0
26,2,1,52.56,100.0,-47.44,1496.1
27,2,1,15.44,20.24,-23.72,1659.9
28,2,2,47.6,738.8,-93.56,590.1
29,2,0,1680.64,1680.64,0.0,0.0
31,2,1,43.84,210.16,-79.14,2454.1
32,2,0,0.8,0.8,0.0,0.0
33,2,0,23.44,23.44,0.0,0.0
34,2,0,2.56,2.56,0.0,0.0
35,2,1,42.8,339.76,-87.4,1731.4
36,2,1,1.36,221.44,-99.39,835.2
37,2,0,35.36,35.36,0.0,0.0
38,2,1,1.04,30.8,-96.62,3240.4
39,2,0,237.84,237.84,0.0,0.0
40,2,0,126.96,126.96,0.0,0.0
41,2,0,77.04,77.04,0.0,0.0
42,2,0,4.16,4.16,0.0,0.0
43,2,0,235.76,235.76,0.0,0.0
44,2,1,50.24,108.56,-53.72,692.9
45,2,0,8.56,8.56,0.0,0.0
46,2,0,22.96,22.96,0.0,0.0
47,2,0,16.4,16.4,0.0,0.0
48,2,0,216.56,216.56,0.0,0.0
49,2,0,114.64,114.64,0.0,0.0
50,2,2,171.44,263.84,-35.02,3806.2
51,2,1,14.96,17.44,-14.22,0.0
52,2,1,10.16,58.8,-82.72,1197.2
53,2,1,90.56,340.8,-73.43,3231.8
54,2,0,111.04,111.04,0.0,0.0
55,2,1,256.24,294.8,-13.08,1366.3
56,2,0,2.16,2.16,0.0,0.0
57,2,2,515.36,620.16,-16.9,1481.7
58,2,0,1.36,0.8,70.0,346.6
59,2,0,31.84,31.84,0.0,0.0
60,2,0,68.0,68.0,0.0,0.0
61,2,1,67.84,348.64,-80.54,0.0
62,2,2,154.16,931.2,-83.45,1586.5
63,2,0,16.16,16.16,0.0,0.0
64,2,1,82.16,57.2,43.64,4986.8
65,2,0,214.16,214.16,0.0,0.0
66,2,0,41.2,41.2,0.0,0.0
67,2,0,56.96,56.96,0.0,0.0
68,2,0,141.04,141.04,0.0,0.0
69,2,0,196.4,196.4,0.0,0.0
70,2,2,173.84,396.4,-56.15,1670.6
71,2,1,58.24,86.16,-32.4,3538.8
72,2,1,37.84,394.16,-90.4,346.5
73,2,0,33.44,33.44,0.0,0.0
74,2,0,33.44,33.44,0.0,0.0
75,2,0,101.44,101.44,0.0,0.0
76,2,1,56.24,13.84,306.36,2445.7
77,2,1,170.16,731.44,-76.74,2081.1
78,2,1,175.36,129.84,35.06,346.6
79,2,1,4.56,46.96,-90.29,589.9
80,2,0,440.24,440.24,0.0,0.0
81,2,0,9.84,9.84,0.0,0.0
82,2,0,8.16,8.16,0.0,0.0
83,2,2,50.24,240.64,-79.12,834.8
84,2,0,100.64,100.64,0.0,0.0
85,2,1,122.56,242.64,-49.49,2991.9
86,2,0,65.84,65.84,0.0,0.0
87,2,0,7.36,7.36,0.0,0.0
88,2,0,67.2,67.2,0.0,0.0
89,2,1,52.24,171.6,-69.56,2396.1
90,2,0,118.16,118.16,0.0,0.0
91,2,1,97.04,99.36,-2.33,0.0
92,2,0,56.24,56.24,0.0,0.0
93,2,0,37.44,37.44,0.0,0.0
94,2,0,5.04,5.04,0.0,0.0
95,2,1,140.24,108.24,29.56,2742.2
96,2,1,396.64,405.36,-2.15,3519.4
97,2,0,197.36,197.36,0.0,0.0
98,2,0,294.64,294.64,0.0,0.0
99,2,0,63.84,63.84,0.0,0.0
