seed,params,ours,grid_opt,found_optimum,gap_pct,lip_assumed,lip_assumed_wrong,lip_empirical,lip_empirical_wrong,band,band_wrong,band_sweeps,L_assumed_mean,L_emp_mean
0,default,250.24,250.24,True,0.0,False,False,False,False,False,False,5,7.237,35.429
1,default,54.16,54.16,True,0.0,False,False,False,False,False,False,5,6.647,29.887
1,starved,54.16,54.16,True,0.0,False,False,False,False,False,False,5,6.647,29.887
2,default,1576.56,1240.24,False,27.1173,False,False,False,False,False,False,5,6.474,37.36
3,default,73.2,73.2,True,0.0,False,False,False,False,False,False,5,6.405,26.871
3,starved,73.2,73.2,True,0.0,False,False,False,False,False,False,5,6.405,26.871
4,default,360.56,360.56,True,0.0,False,False,False,False,False,False,5,6.821,41.615
4,starved,484.0,360.56,False,34.2356,False,False,False,False,False,False,5,6.821,41.615
5,default,1009.36,1009.36,True,0.0,False,False,False,False,False,False,5,9.031,56.232
6,default,416.24,400.64,False,3.8938,False,False,False,False,False,False,5,6.89,35.705
6,starved,416.24,400.64,False,3.8938,False,False,False,False,False,False,5,6.89,35.705
7,default,50.24,50.24,True,0.0,False,False,False,False,False,False,5,6.647,42.849
7,starved,50.24,50.24,True,0.0,False,False,False,False,False,False,5,6.647,42.849
8,default,167.44,167.44,True,0.0,False,False,False,False,False,False,5,6.162,33.048
8,starved,167.44,167.44,True,0.0,False,False,False,False,False,False,5,6.162,33.048
9,default,1252.24,1252.24,True,0.0,False,False,False,False,False,False,5,8.788,28.196
9,starved,1252.24,1252.24,True,0.0,False,False,False,False,False,False,5,8.788,28.196
