n_cells,seed,wvar_variance_site,wvar_range_site,range_penalty_pct
20,0,8.352,10.722,22.1
20,1,5.9,6.845,13.81
20,2,6.003,6.288,4.53
20,3,8.39,9.754,13.98
20,4,3.503,3.503,0.0
20,5,3.92,3.975,1.4
20,6,4.451,5.136,13.33
20,7,6.611,7.013,5.74
20,8,5.133,5.133,0.0
20,9,5.76,6.988,17.58
20,10,8.18,8.18,0.0
20,11,6.706,6.706,0.0
20,12,6.677,6.737,0.9
20,13,11.273,12.054,6.48
20,14,9.191,9.551,3.77
20,15,8.836,10.787,18.09
20,16,6.21,6.358,2.33
20,17,5.634,5.866,3.96
20,18,6.115,6.625,7.7
20,19,8.359,9.896,15.53
20,20,7.294,8.249,11.58
20,21,10.463,11.579,9.64
20,22,5.328,6.12,12.93
20,23,8.431,9.967,15.41
20,24,15.79,21.938,28.02
20,25,5.443,6.889,20.98
20,26,6.548,7.461,12.24
20,27,2.241,2.538,11.72
20,28,6.634,8.247,19.56
20,29,6.126,6.175,0.79
20,30,12.214,13.975,12.6
20,31,7.511,10.026,25.08
20,32,6.834,6.834,0.0
20,33,4.983,7.899,36.91
20,34,7.982,7.982,0.0
20,35,6.487,6.897,5.94
20,36,10.492,10.492,0.0
20,37,3.672,3.672,0.0
20,38,8.643,11.442,24.46
20,39,11.058,12.842,13.89
40,0,7.691,7.73,0.51
40,1,8.31,11.244,26.1
40,2,11.457,11.457,0.0
40,3,10.109,16.314,38.03
40,4,6.129,6.129,0.0
40,5,6.293,6.293,0.0
40,6,5.597,8.74,35.96
40,7,7.172,8.319,13.79
40,8,6.049,6.576,8.02
40,9,7.955,9.31,14.56
40,10,6.976,8.819,20.9
40,11,7.584,8.094,6.3
40,12,5.435,5.437,0.03
40,13,12.463,13.236,5.83
40,14,11.028,11.028,0.0
40,15,11.973,16.715,28.37
40,16,6.586,7.141,7.78
40,17,7.63,8.383,8.99
40,18,5.991,6.568,8.78
40,19,10.856,13.837,21.54
40,20,7.063,7.411,4.7
40,21,8.455,10.338,18.22
40,22,5.575,5.575,0.0
40,23,11.031,12.076,8.65
40,24,12.184,13.105,7.03
40,25,7.213,7.214,0.02
40,26,7.866,9.189,14.4
40,27,4.178,4.543,8.03
40,28,6.947,8.192,15.2
40,29,9.163,10.012,8.48
40,30,12.109,14.38,15.79
40,31,7.785,8.959,13.11
40,32,8.915,8.915,0.0
40,33,9.149,9.688,5.56
40,34,7.409,7.409,0.0
40,35,8.466,10.493,19.31
40,36,11.14,11.301,1.43
40,37,6.09,8.575,28.97
40,38,10.905,11.499,5.17
40,39,11.464,16.839,31.92
100,0,8.437,9.385,10.1
100,1,9.982,11.697,14.66
100,2,10.774,11.897,9.44
100,3,11.658,16.107,27.62
100,4,6.623,6.623,0.0
100,5,6.866,6.866,0.0
100,6,6.225,7.816,20.36
100,7,8.148,11.31,27.96
100,8,8.466,10.893,22.28
100,9,8.183,8.535,4.13
100,10,8.145,9.912,17.82
100,11,8.963,9.3,3.63
100,12,6.629,10.081,34.24
100,13,12.635,13.16,3.99
100,14,11.897,11.953,0.47
100,15,12.21,15.882,23.12
100,16,9.69,11.848,18.21
100,17,8.821,9.162,3.73
100,18,6.678,10.128,34.07
100,19,9.739,9.87,1.33
100,20,7.99,8.517,6.18
100,21,7.853,9.211,14.74
100,22,7.497,7.497,0.0
100,23,9.898,13.311,25.64
100,24,13.454,14.931,9.89
100,25,7.885,8.803,10.43
100,26,9.096,9.552,4.77
100,27,4.43,4.992,11.26
100,28,8.237,11.154,26.15
100,29,9.682,10.095,4.09
100,30,11.132,12.404,10.25
100,31,9.486,10.939,13.28
100,32,11.33,11.465,1.17
100,33,7.341,8.851,17.07
100,34,9.643,13.491,28.52
100,35,9.437,10.212,7.59
100,36,9.762,9.762,0.0
100,37,7.164,7.924,9.59
100,38,13.933,14.015,0.59
100,39,11.297,14.738,23.35
150,0,7.883,9.83,19.8
150,1,10.333,11.074,6.69
150,2,12.9,16.037,19.56
150,3,12.365,19.13,35.36
150,4,7.251,7.251,0.0
150,5,7.235,10.165,28.82
150,6,6.981,8.061,13.39
150,7,8.454,11.761,28.12
150,8,8.333,10.897,23.53
150,9,8.538,8.538,0.0
150,10,8.6,10.197,15.65
150,11,9.936,10.454,4.96
150,12,7.686,7.686,0.0
150,13,12.591,13.685,7.99
150,14,12.567,14.562,13.7
150,15,12.256,14.543,15.72
150,16,9.547,11.297,15.5
150,17,10.941,11.177,2.11
150,18,8.861,12.547,29.38
150,19,10.287,16.095,36.09
150,20,7.54,8.484,11.13
150,21,8.038,8.8,8.66
150,22,8.701,9.242,5.86
150,23,10.892,11.437,4.76
150,24,14.393,16.382,12.14
150,25,8.159,8.482,3.8
150,26,8.44,11.008,23.33
150,27,6.112,6.298,2.96
150,28,7.749,9.977,22.34
150,29,9.578,9.578,0.0
150,30,10.089,12.714,20.64
150,31,9.474,10.497,9.75
150,32,11.242,11.242,0.0
150,33,7.128,8.228,13.37
150,34,10.978,11.81,7.05
150,35,8.741,9.03,3.21
150,36,9.266,9.569,3.17
150,37,8.362,9.438,11.4
150,38,12.339,13.007,5.13
150,39,10.784,13.864,22.21
