seed,worst_user_time,worst_user_time_upweighted,drop_min
0,27.48,25.87,1.61
1,14.65,14.26,0.39
2,11.74,11.74,0.0
3,21.91,19.12,2.8
4,38.97,35.77,3.2
5,61.77,47.92,13.86
6,20.22,19.08,1.14
7,31.02,28.53,2.49
8,12.34,11.98,0.36
9,45.95,42.08,3.87
10,20.66,18.89,1.77
11,24.69,23.01,1.69
12,38.1,29.33,8.78
13,25.72,25.05,0.67
14,58.19,48.08,10.11
15,12.47,10.11,2.37
16,39.16,33.77,5.39
17,41.76,37.22,4.53
18,29.22,28.75,0.47
19,31.38,30.4,0.98
20,27.96,22.8,5.16
21,25.89,24.4,1.49
22,21.07,20.19,0.88
23,24.12,22.35,1.77
